deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
bc3fb8c0-bdd9-45b0-9efb-307534aa720d,d289ba5b-72c9-473f-b439-aaa4f178b221,OF 1_3,-38.019305,177.032176,,2024-08-29T12:00:30+00:00,2025-09-20T10:04:23+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
bc9c5402-8418-45b8-a2d1-e60ae394cb73,41375e43-38ac-4d70-893e-efba6f4f9606,OF 1_4,-38.017914,177.033626,,2025-08-30T12:13:49+00:00,2025-09-19T18:21:52+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
d75d23b2-e979-45a2-8283-ba22163c8ebb,fc70bece-5338-413e-82a6-bb26b6bda633,OF 99_07,-38.018,177.015833,,2024-10-10T13:00:40+00:00,2024-10-24T11:54:59+00:00,,,,300,,,,,,,false,,,,,
dca9141c-d0a7-487d-9b11-29a96a830b8a,a0fe198d-03a9-4207-9cff-4437c7ac271c,OF 99_14,-38.021013,177.027122,,2024-10-10T10:57:25+00:00,2024-10-24T13:37:48+00:00,,,,300,,,,,,,,,,,,
de774ad3-6ac3-4aff-817c-45ff192d23e7,d289ba5b-72c9-473f-b439-aaa4f178b221,OF 1_3,-38.019305,177.032176,,2025-11-23T08:41:17+00:00,2025-12-14T09:23:51+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
eaf83a88-c11c-4cdd-a083-3f3f6b5ca3d9,f1a01e77-3a98-41a1-a083-2f5c61ecbd3d,OF 1_2,-38.020694,177.030699,,2025-05-10T13:35:00+00:00,2025-05-31T09:55:00+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,BJG Manually updated Start/End date per Hilary email 16/Sept
f090f552-a272-447f-8df2-eab88f92109e,50f88fc2-7233-4381-904d-382a2f8ae4d3,OF 99_24,-38.014958,177.026165,,2024-10-10T12:04:25+00:00,2024-10-24T12:53:25+00:00,,,,300,,,,,,,,,,,,
f1744aac-3892-4120-bc64-684dfd187d00,e36ff492-1c9b-4400-93b8-0b663ed632fb,OF 99_03,-38.014315,177.01445,,2024-10-10T13:46:49+00:00,2024-10-24T14:12:27+00:00,,,,300,,,,,,,,,,,,
f37394af-d2f5-4363-8f10-60bb57154b13,2f8507cf-e18e-4454-bdfd-148c1e67bbf9,OF 99_09,-38.023217,177.019083,,2024-10-10T11:52:38+00:00,2024-10-24T12:46:11+00:00,,,,300,,,,,,,false,,,,,
f5afaf0e-afdd-4ce8-96b9-1db658cc3a13,9e0c9b1b-e078-4fb4-846c-4eb14fc62edc,OF 99_16,-38.016625,177.02729,,2024-10-10T13:00:00+00:00,2024-10-24T12:25:06+00:00,,,,300,,,,,,,,,,Initial investigation,,
f98ffa40-ac22-40b4-b4b8-9b861515deb0,41375e43-38ac-4d70-893e-efba6f4f9606,OF 1_4,-38.017914,177.033626,,2024-10-24T12:37:52+00:00,2024-11-18T15:02:33+00:00,,,,300,,,,,,,,,,,,
