trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,trapcode,long,lat,ele,project_id2,easting,northing,line_id3,code4,name5,project_id6,associated_cat_traps,Reserve/Area
2367,MK81,25,504,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
3669,MT09a,8,139,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,MT,Main Track,1,NULL,OSR
2665,MT11a,8,142,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,MT,Main Track,1,NULL,OSR
70,OV25,10,215,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,OV,Ocean View,1,NULL,OSR
2140,RF21,115,760,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,RF,Rust Forest,1,NULL,Wainui
2157,RF22,115,761,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,RF,Rust Forest,1,NULL,Wainui
2207,RF23,115,762,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,RF,Rust Forest,1,NULL,Wainui
2208,RF24,115,763,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,RF,Rust Forest,1,NULL,Wainui
6,SS20,11,213,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,SS,School Stream,1,NULL,OSR
5,SS21,11,214,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,SS,School Stream,1,NULL,OSR
3681,SU12,190,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3682,SU13,190,13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3683,SU14,190,14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3684,SU15,190,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3685,SU16,190,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3686,SUKAT01,190,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3687,SUKAT02,190,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,SU,SU Line Mokorua,1,NULL,MOK
3637,SW1,187,1,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3638,SW2,187,2,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3639,SW3,187,3,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3640,SW4,187,4,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3641,SW5,187,5,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3642,SW6,187,6,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3643,SW7,187,7,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3644,SW8,187,8,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
3645,SW9,187,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,SW,Sewage Works,1,NULL,
2256,TV1,132,823,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,132,TV,Trevor,1,NULL,
767,WL22,24,420,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,WL,West Long,1,NULL,OSR
425,WS18,21,396,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,WS,West Short,1,NULL,OSR
424,WS19,21,397,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,WS,West Short,1,NULL,OSR
423,WS20,21,398,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,WS,West Short,1,NULL,OSR
1017,RUS1,69,706,1,NULL,NULL,1002,1,NULL,NULL,NULL,RUS1,177.1434536,-38.08625167,0,1,NULL,NULL,69,Rustic,Rustic Metal,1,NULL,Wainui
931,ST01,61,601,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST01,177.1136758,-38.0433556,16,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
932,ST02,61,602,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST02,177.113429,-38.044703,40,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
