trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,latitude,longitude
3588,DF17A,18,327,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-37.96774966,177.0170558
168,DF18,18,328,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.968165,177.017827
169,DF19,18,329,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.969545,177.018481
170,DF20,18,330,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.971082,177.018611
171,DF21,18,331,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.972349,177.019296
172,DF22,18,332,1,NULL,NULL,1040,1,NULL,NULL,NULL,-37.973712,177.020475
3596,DF23,18,333,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97291116,177.0194198
3597,DF24,18,334,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97336487,177.0209011
3598,DF25,18,335,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97292996,177.0217649
394,DV01,26,505,1,NULL,NULL,1024,1,NULL,NULL,NULL,-37.964585,177.032221
395,DV02,26,506,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.964814,177.031802
396,DV03,26,507,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.965072,177.031124
397,DV04,26,508,1,NULL,NULL,1062,1,NULL,NULL,NULL,-37.96539,177.03022
398,DV05,26,509,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.965969,177.029112
481,DV06,26,510,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.964971,177.028615
1127,FG01,83,719,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1128,FG02,83,720,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1129,FG03,83,721,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1130,FG04,83,722,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1131,FG05,83,723,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1132,FG06,83,724,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1133,FG07,83,725,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1134,FG08,83,726,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
1135,FG09,83,727,1,NULL,NULL,NULL,1,NULL,NULL,NULL,,
2057,FR01,125,804,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.95377452,177.0163957
