trapdata_id,date,trap_id,outcome_id,baitchange,volunteer_id,bait_id,location,created,data_source_id,easting,northing,latitude,longitude,bait_outcome_id,trapdata_bait_id,trapdata_guid,version,baitstatus
232021,1/07/2025,35,4,NULL,6433,2,NULL,"Thursday, 7 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
213239,18/03/2024,35,4,NULL,6168,2,NULL,"Monday, 1 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
221635,19/10/2024,35,4,NULL,6383,2,NULL,"Friday, 25 October 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
221602,8/09/2024,35,4,NULL,6383,2,NULL,"Friday, 25 October 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
206141,27/08/2023,36,4,NULL,6249,21,NULL,"Saturday, 26 August 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Dog roll
213242,18/03/2024,37,4,NULL,6168,2,NULL,"Monday, 1 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
232028,1/07/2025,37,4,NULL,6433,2,NULL,"Thursday, 7 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
221611,8/09/2024,38,14,NULL,6383,2,NULL,"Friday, 25 October 2024",3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,Salted Rabbit
213240,18/03/2024,39,4,NULL,6168,2,NULL,"Monday, 1 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
213813,9/04/2024,39,4,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
232026,1/07/2025,39,4,NULL,6433,2,NULL,"Thursday, 7 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
232049,22/08/2025,40,4,NULL,6433,2,NULL,"Thursday, 7 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
232073,1/05/2025,40,4,NULL,6433,2,NULL,"Thursday, 7 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
213812,9/04/2024,40,4,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
221642,19/10/2024,40,4,NULL,6383,2,NULL,"Friday, 25 October 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
224576,24/12/2024,40,14,NULL,6419,3,NULL,"Sunday, 5 January 2025",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
213810,9/04/2024,42,4,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
213809,9/04/2024,43,4,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
221606,8/09/2024,43,14,NULL,6383,2,NULL,"Friday, 25 October 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
232524,26/08/2025,44,3,NULL,6425,2,NULL,"Tuesday, 26 August 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
234983,22/09/2025,44,4,NULL,6425,2,NULL,"Tuesday, 21 October 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
230470,17/06/2025,44,4,NULL,6425,2,NULL,"Monday, 16 June 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
231949,22/07/2025,45,4,NULL,6425,2,NULL,"Tuesday, 5 August 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
229608,13/05/2025,45,4,NULL,6425,2,NULL,"Sunday, 18 May 2025",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
213807,9/04/2024,45,4,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
213841,23/02/2024,46,1026,NULL,6168,2,NULL,"Monday, 8 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
212226,29/02/2024,46,1,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
225182,28/01/2025,46,3,NULL,487,12,NULL,"Tuesday, 28 January 2025",3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,Fresh goat
229592,7/05/2025,46,14,NULL,6425,2,NULL,"Sunday, 18 May 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
228531,15/04/2025,46,4,NULL,6425,2,NULL,"Monday, 21 April 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
234987,14/10/2025,46,3,NULL,6425,2,NULL,"Tuesday, 21 October 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
230466,17/06/2025,46,14,NULL,6425,3,NULL,"Monday, 16 June 2025",3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,No
229593,7/05/2025,47,4,NULL,6425,2,NULL,"Sunday, 18 May 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
222104,4/11/2024,47,3,NULL,6410,2,NULL,"Monday, 11 November 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
222896,1/12/2024,48,3,NULL,6410,2,NULL,"Sunday, 1 December 2024",3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,Salted Rabbit
209781,19/12/2023,48,1011,NULL,6122,2,NULL,"Monday, 18 December 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
210841,25/01/2024,48,7,NULL,6122,2,NULL,"Wednesday, 24 January 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
208841,24/11/2023,49,7,NULL,6122,2,NULL,"Thursday, 23 November 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
222107,4/11/2024,50,1011,NULL,6410,2,NULL,"Monday, 11 November 2024",3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,Salted Rabbit
225186,28/01/2025,50,7,NULL,487,12,NULL,"Tuesday, 28 January 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh goat
212231,29/02/2024,51,4,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
230609,24/06/2025,51,11,NULL,6425,10,NULL,"Monday, 23 June 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh rabbit
212233,29/02/2024,53,4,NULL,6122,2,NULL,"Wednesday, 28 February 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Salted Rabbit
214135,26/03/2024,54,2,NULL,5982,13,NULL,"Tuesday, 16 April 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh venison
209965,22/12/2023,54,4,NULL,5982,13,NULL,"Tuesday, 26 December 2023",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh venison
226141,20/02/2025,54,4,NULL,6046,14,NULL,"Sunday, 23 February 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Erayz
217059,28/06/2024,54,4,NULL,6046,10,NULL,"Monday, 1 July 2024",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh rabbit
231496,7/06/2025,54,3,NULL,5982,13,NULL,"Tuesday, 22 July 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh venison
231497,7/06/2025,55,7,NULL,5982,13,NULL,"Tuesday, 22 July 2025",3,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,Fresh venison
